original_value,cleaned_value,status,justification,similarity_score,source_column
2318-4211 Québec inc. (Boulangerie St-Donat)|2318-4211 Québec inc. (Boulangerie St-Donat),2318-4211 Québec inc. - Boulangerie St-Donat|2318-4211 Québec inc. - Boulangerie St-Donat,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2333281 Ontario Ltd,2333281 Ontario Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2374979 Ontario Inc,2374979 ONTARIO INC.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2440-4246 Québec inc. (Hôtel Plante)|2440-4246 Québec inc. (Hôtel Plante),2440-4246 Québec inc. - Hôtel Plante|2440-4246 Québec inc. - Hôtel Plante,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2519098 ONTARIO INC- PHOTOED MAGAZINE,2519098 ONTARIO INC. - PHOTOED MAGAZINE,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2551-2013 Québec Inc.,2551-2013 QUEBEC INC.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2551-2013 Québec inc.,2551-2013 QUEBEC INC.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2737-1137 Québec inc. (PAG Produits alimentaires)|2737-1137 Québec inc. (PAG Produits alimentaires),2737-1137 Québec inc. - PAG Produits alimentaires|2737-1137 Québec inc. - PAG Produits alimentaires,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2738-7554 QUÉBEC INC.,2738-7554 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2753514 Ontario Inc,2753514 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2781944 Ontario Inc,2781944 Ontario Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2845-5574 Québec inc. (Hôtel Le Francis)|2845-5574 Québec inc. (Hôtel Le Francis),2845-5574 Québec inc. - Hôtel Le Francis|2845-5574 Québec inc. - Hôtel Le Francis,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2866-1536 Québec inc.,2866-1536 Québec inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
2953-8121 QUÉBEC INC. - ÉDITIONS DE L'ENVOLÉE,2953-8121 QUÉBEC INC. (ÉDITIONS DE L'ENVOLÉE),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
3343533 NOVA SCOTIA LIMITED,3343533 Nova Scotia Limited,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
3721078 Canada inc. - Les Granites de la Montagne|3721078 Canada inc. - Les Granites de la Montagne,3721078 Canada inc. (Les Granites de la Montagne)|3721078 Canada inc. (Les Granites de la Montagne),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
3882 KING STREET INC,3882 King Street Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
3L Innogénie inc.,3L Innogenie inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
4349741 Canada inc. - Makwa Cabinets|4349741 Canada inc. - Makwa Cabinets,4349741 Canada inc. (Makwa Cabinets)|4349741 Canada inc. (Makwa Cabinets),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
4364546 CANADA INC.,4364546 Canada Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
4KORNERS,4Korners,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
50th Parallel Estate GENERAL PARTNER INC.,50th Parallel Estate General Partner Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
51 ACRES VENTURES INC.,51 Acres Ventures Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
51 Acres Ventures Inc,51 Acres Ventures Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
535702 Yukon Inc,535702 Yukon Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
55 PLUS CENTRES THUNDER BAY,55 Plus Centres Thunder Bay,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
603939 B.C. LTD.,603939 B.C. Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
6093299 Canada inc. (Gabriel Scott)|6093299 Canada inc. (Gabriel Scott),6093299 Canada inc. - Gabriel Scott|6093299 Canada inc. - Gabriel Scott,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
638066 NB Inc,638066 NB Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
6482066 Canada inc.  - PCP Aluminium|6482066 Canada inc.  - PCP Aluminium,6482066 Canada inc. (PCP Aluminium)|6482066 Canada inc. (PCP Aluminium),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
6482066 Canada inc. (PCP Aluminium),6482066 Canada inc.  - PCP Aluminium,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
657865 Bc Ltd.,657865 BC Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
662100 N.-B. LTÉE,662100 N.-B. Ltée,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
662100 N.-B. Ltée.,662100 N.-B. Ltée,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
"6735258 Canada inc - Imagine, Création d'espaces de vie|6735258 Canada inc - Imagine, Création d'espaces de vie","6735258 Canada inc - Imagine, création d'espaces de vie|6735258 Canada inc - Imagine, création d'espaces de vie",accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
6997732 Canada inc. (Laboratoire MWE)|6997732 Canada inc. (Laboratoire MWE),6997732 Canada inc. - Laboratoire MWE|6997732 Canada inc. - Laboratoire MWE,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7 à nous,7 À NOUS,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7125585 Canada inc. (Les Entreprises Weded)|7125585 Canada inc. (Les Entreprises Weded),7125585 Canada inc. - Les Entreprises Weded|7125585 Canada inc. - Les Entreprises Weded,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7608187 Canada Inc. (La Trappe A Fromage de L'Outaouais),7608187 Canada Inc. / La Trappe à fromage de l'Outaouais,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7608187 Canada inc,7608187 Canada Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7608187 Canada inc (La Trappe A Fromage de L'Outaouais),7608187 Canada Inc. / La Trappe à fromage de l'Outaouais,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7608187 Canada inc. (La Trappe à fromage de l'Outaouais)|7608187 Canada inc. (La Trappe à fromage de l'Outaouais),7608187 Canada inc. - La trappe à fromage de l'Outaouais|7608187 Canada inc. - La trappe à fromage de l'Outaouais,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7608187 Canada inc. (La trappe à fromage de l'Outaouais)|7608187 Canada inc. (La trappe à fromage de l'Outaouais),7608187 Canada inc. - La trappe à fromage de l'Outaouais|7608187 Canada inc. - La trappe à fromage de l'Outaouais,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
7TH STREET HEALTH ACCESS CENTRE,7th Street Health Access Centre,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
88 Brewing Company Ltd,88 Brewing Company Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9002-0413 Québec inc,9002-0413 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9002-6683 Québec inc. - Pourvoirie du Lac Blanc|9002-6683 Québec inc. - Pourvoirie du Lac Blanc,9002-6683 Québec inc. (Pourvoirie du Lac Blanc)|9002-6683 Québec inc. (Pourvoirie du Lac Blanc),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9011-6641 Québec Inc. (Riôtel Percé)|9011-6641 Québec Inc. (Riôtel Percé),9011-6641 Québec inc. - Riotel Percé|9011-6641 Québec inc. - Riotel Percé,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9015-4931 QUÉBEC INC.,9015-4931 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9015-4931 Quebec inc.,9015-4931 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9015-8593 Québec inc. (Kingzip Co. Ltd.)|9015-8593 Québec inc. (Kingzip Co. Ltd.),9015-8593 Québec inc. - Kingzip Co. Ltd.|9015-8593 Québec inc. - Kingzip Co. Ltd.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9021-5450 Québec inc. (Subway du Parc)|9021-5450 Québec inc. (Subway du Parc),9021-5450 Québec inc. - Subway du Parc|9021-5450 Québec inc. - Subway du Parc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9029-2905 Québec inc. (Garage Houle)|9029-2905 Québec inc. (Garage Houle),9029-2905 Québec inc. - Garage Houle|9029-2905 Québec inc. - Garage Houle,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9031-6019 Québec inc,9031-6019 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9044-3433 Québec inc. (Aluquip)|9044-3433 Québec inc. (Aluquip),9044-3433 Québec inc. - Aluquip|9044-3433 Québec inc. - Aluquip,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9054-2291 Québec inc,9054-2291 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9057-3023 QUEBEC INC.,9057-3023 QUÉBEC INC.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9061-3688 Québec inc. - Protex Division Architecturale|9061-3688 Québec inc. - Protex Division Architecturale,9061-3688 Québec inc. - Protex division architecturale|9061-3688 Québec inc. - Protex division architecturale,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9066-7353 Québec inc. (OmniFab) | 9066-7353 Québec inc. (OmniFab),9066-7353 Québec inc. - OmniFab|9066-7353 Québec inc. - OmniFab,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9066-7353 Québec inc. - OmniFab,9066-7353 Québec inc. (OmniFab),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9066713 Canada inc. (Umanx)|9066713 Canada inc. (Umanx),9066713 Canada inc. - Umanx|9066713 Canada inc. - Umanx,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9067-5588 QUÉBEC INC,9067-5588 Québec Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9067-5588 Québec inc,9067-5588 Québec Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9067-5588 Québec inc.,9067-5588 Québec Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9069-4654 Québec inc. - Supervac,9069-4654 Québec inc. (Supervac),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9076-3384 Québec inc,9076-3384 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9088-3570 Québec inc. Enertec Rail Equipment|9088-3570 Québec inc. Enertec Rail Equipment,9088-3570 Québec inc. - Enertec Rail Equipment|9088-3570 Québec inc. - Enertec Rail Equipment,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9091-4532 Québec inc. - Cotech|9091-4532 Québec inc. - Cotech,9091-4532 Québec inc. (Cotech)|9091-4532 Québec inc. (Cotech),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9104-0774 Québec Inc,9104-0774 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9105-7380 Québec Inc. (Fromagerie P'tit Plaisir),9105-7380 Québec inc. (Fromagerie P'tit Plaisir),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9111-3993 Québec inc,9111-3993 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9124-5936 Québec inc.,9124-5936 Québec Inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9129-7051 Québec inc. - Courges & cie|9129-7051 Québec inc. - Courges & cie,9129-7051 Québec inc. (Courges & cie)|9129-7051 Québec inc. (Courges & cie),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9137-4041 Québec inc. (Sélectôtel)|9137-4041 Québec inc. (Sélectôtel),9137-4041 Québec inc. - Sélectôtel|9137-4041 Québec inc. - Sélectôtel,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9138-4529 Québec inc. - G.G. Télécom|9138-4529 Québec inc. - G.G. Télécom,9138-4529 Québec inc. (G.G. Télécom) | 9138-4529 Québec inc. (G.G. Télécom),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9140-5621 Québec Inc.,9140-5621 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9142-6825 Québec inc. (Marie Morin Canada)|9142-6825 Québec inc. (Marie Morin Canada),9142-6825 Québec inc. - Marie Morin Canada|9142-6825 Québec inc. - Marie Morin Canada,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
91439 CANADA LTÉE - ÉDITIONS DE MORTAGNE,91439 CANADA LTÉE (ÉDITIONS DE MORTAGNE),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9150-4514 QUEBEC INC.,9150-4514 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9150-4514 Quebec Inc.,9150-4514 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9161-2499 Québec inc. (Simleader)|9161-2499 Québec inc. (Simleader),9161-2499 Québec inc. - Simleader|9161-2499 Québec inc. - Simleader,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9171-0772 Québec inc. (Utopie MFG),9171-0772 Québec inc. - Utopie MFG,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9181-2958 Québec Inc. (Ferme la rose des vents),9181-2958 Québec inc. (Ferme La Rose des Vents),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9181-2958 Québec inc. - Ferme La Rose des Vents|9181-2958 Québec inc. - Ferme La Rose des Vents,9181-2958 Québec inc. (Ferme La Rose des Vents) |9181-2958 Québec inc. (Ferme La Rose des Vents),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9197 - 1168 Québec Inc. (Groupe Uni3T)|9197 - 1168 Québec Inc. (Groupe Uni3T),9197 - 1168 Québec inc. (Groupe Uni3T)|9197 - 1168 Québec inc. (Groupe Uni3T),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9198-2173 Québec Inc. (Raw Vitality Inc.)|9198-2173 Québec Inc. (Raw Vitality Inc.),9198-2173 Québec inc. - Raw Vitality inc.|9198-2173 Québec inc. - Raw Vitality inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9213-0244 Québec Inc.,9213-0244 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9213-0244 Québec inc,9213-0244 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9224-6453 Québec inc. (Motel Fraser)|9224-6453 Québec inc. (Motel Fraser),9224-6453 Québec inc. - Motel Fraser|9224-6453 Québec inc. - Motel Fraser,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9227-0701 Québec inc,9227-0701 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9229-4685 Québec inc. (Au Diable Vert)|9229-4685 Québec inc. (Au Diable Vert),9229-4685 Québec inc. - Au Diable Vert|9229-4685 Québec inc. - Au Diable Vert,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9273-5877 Québec inc. (TransAlim)|9273-5877 Québec inc. (TransAlim),9273-5877 Québec inc. - TransAlim|9273-5877 Québec inc. - TransAlim,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9274-3525 QUEBEC INC.,9274-3525 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9274-3525 Québec inc,9274-3525 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9274-5678 Québec inc.,9274-5678 Québec inc,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9274-9076 Quebec Inc.,9274-9076 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9274-9076 Québec inc.,9274-9076 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9275-3698 Québec inc.,9275-3698 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9281-1157 Québec Inc,9281-1157 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9301-9826 Québec inc. (La Granaudière)|9301-9826 Québec inc. (La Granaudière),9301-9826 Québec inc. - La Granaudière|9301-9826 Québec inc. - La Granaudière,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9302-0469 Québec inc. (BoréA)|9302-0469 Québec inc. (BoréA),9302-0469 Québec inc. - BoréA|9302-0469 Québec inc. - BoréA,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9314-7098 Québec Inc.,9314-7098 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9321-4484 Quebec inc,9321-4484 QUEBEC INC,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9321-4484 Québec Inc.,9321-4484 QUEBEC INC,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9328-8082 Québec inc. (Devoray)|9328-8082 Québec inc. (Devoray),9328-8082 Québec inc. - Devoray|9328-8082 Québec inc. - Devoray,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9338-8924 Québec inc (BRIDGR Group)|9338-8924 Québec inc (BRIDGR Group),9338-8924 Québec inc. - Bridgr Group|9338-8924 Québec inc. - Bridgr Group,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9347 2066 Québec Inc,9347-2066 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9347 2066 québec inc,9347-2066 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9347-2066 Québec inc,9347-2066 Québec Inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9351-0618 Québec inc. - Calogy Solutions|9351-0618 Québec inc. - Calogy Solutions,9351-0618 Québec inc. (Calogy Solutions) |9351-0618 Québec inc. (Calogy Solutions),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9352-8966 Québec Inc.,9352-8966 Québec inc.,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9358-3433 Québec inc. - Supports MOS|9358-3433 Québec inc. - Supports MOS,9358-3433 Québec inc. (Supports MOS)|9358-3433 Québec inc. (Supports MOS),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9360-3983 Québec Inc. (Hôtel des Arts)|9360-3983 Québec Inc. (Hôtel des Arts),9360-3983 Québec inc. - Hôtel Des Arts|9360-3983 Québec inc. - Hôtel Des Arts,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9363-8526 Québec inc. (Amimac Fabrication)|9363-8526 Québec inc. (Amimac Fabrication),9363-8526 Québec inc. - Amimac Fabrication|9363-8526 Québec inc. - Amimac Fabrication,accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
9373-6817 Québec inc. - Mechasys|9373-6817 Québec inc. - Mechasys,9373-6817 Québec  inc. (Mechasys)|9373-6817 Québec  inc. (Mechasys),accepted,exact_normalized_match with similarity score 100.0. Automatic correction permitted.,100.0,recipient_legal_name
